,customer_code,dispatch_weight,order_value_weight,final_weights,new_shift
6787,23579,0.0001300648794222059,3.312384768420545e-05,1.2061140882022814e-05,mrng
4224,18152,0.00010456196188844002,4.117559956189033e-05,1.2053168383454113e-05,both
7070,23955,8.670991961480392e-05,4.959420391001515e-05,1.2038912990889906e-05,mrng
4376,18571,0.00012241400416207614,3.504568727908081e-05,1.2010283363643282e-05,mrng
6647,23407,7.650875260129757e-05,5.606871423683626e-05,1.2009344053824293e-05,mrng
3358,13341,0.00017086954747623127,2.510137067149205e-05,1.2007419258205949e-05,mrng
4794,19575,6.885787734116782e-05,6.224436485863074e-05,1.1998894621649198e-05,evng
1850,5249,6.885787734116782e-05,6.215628563641172e-05,1.1981915521482247e-05,mrng
2958,10833,0.00015556779695597174,2.747854208764802e-05,1.1967431690265975e-05,mrng
3112,12000,0.00011221283714856977,3.800085540177678e-05,1.1937777621106065e-05,evng
2707,7592,0.0001071122536418166,3.973307040532985e-05,1.191458315087442e-05,evng
2427,6837,0.00014281633818908883,2.9757791117492943e-05,1.1897786001730251e-05,both
5765,21832,8.926021136818051e-05,4.7549750355341367e-05,1.188211416486369e-05,mrng
5983,22248,6.120700208103807e-05,6.931169120112375e-05,1.1876683215109014e-05,evng
5754,21814,9.946137838168685e-05,4.261919087806456e-05,1.1867172157806165e-05,both
2238,6172,8.670991961480392e-05,4.8875492879847486e-05,1.1864447047783317e-05,evng
2217,6125,6.885787734116782e-05,6.154451807420638e-05,1.1863984612740278e-05,evng
5212,20557,0.0001071122536418166,3.956262288758229e-05,1.1863471794456543e-05,mrng
2927,10760,0.0001300648794222059,3.2537673803652566e-05,1.1847701736241405e-05,mrng
5381,20952,7.3958460847921e-05,5.716728555517973e-05,1.1836491880722471e-05,evng
6166,22675,0.00013771575468233565,3.0684445354787614e-05,1.1830128789073775e-05,mrng
599,2135,0.00011476312890194637,3.676627672740915e-05,1.181243959686217e-05,evng
5272,20659,6.120700208103807e-05,6.881919106842685e-05,1.1792292429686289e-05,evng
6953,23788,8.926021136818051e-05,4.717579014556813e-05,1.178866597907016e-05,both
5542,21324,4.080466805402537e-05,0.0001030140884968736,1.1767766491422127e-05,evng
4308,18404,0.00011476312890194637,3.660461021413986e-05,1.1760498631042124e-05,mrng
3193,12165,7.650875260129757e-05,5.48811979634379e-05,1.175499023653296e-05,mrng
6493,23180,8.670991961480392e-05,4.840623658253422e-05,1.1750535838642188e-05,evng
3798,17124,0.00013516546292895905,3.103084034006362e-05,1.1742128849549495e-05,mrng
4957,19957,7.905904435467418e-05,5.2984537371461686e-05,1.1727036471892216e-05,mrng
6707,23491,3.8254376300648787e-05,0.00010949242550833068,1.1726077787899234e-05,both
1718,4908,0.00011221283714856977,3.731586430181357e-05,1.1722591111819874e-05,evng
6457,23134,7.140816909454442e-05,5.8593082060290305e-05,1.1713368589467504e-05,mrng
2979,10885,9.691108662831026e-05,4.312177425202649e-05,1.1699240089951729e-05,mrng
311,1611,0.00014281633818908883,2.9248492857753516e-05,1.1694157927270406e-05,evng
6568,23281,4.335495980740196e-05,9.630992616643573e-05,1.1689539602052227e-05,evng
4849,19707,0.0001326151711755825,3.1461960742202823e-05,1.1680637974195641e-05,mrng
4681,19284,0.00016576896396947808,2.5126622425049672e-05,1.1660707610779128e-05,mrng
6964,23801,7.650875260129757e-05,5.431023624557271e-05,1.1632696087206798e-05,evng
2955,10824,9.436079487493368e-05,4.4030866480364615e-05,1.1631517846555732e-05,evng
5339,20823,0.00010456196188844002,3.971090327969166e-05,1.1624413705737183e-05,mrng
6475,23158,6.375729383441465e-05,6.501725620651067e-05,1.160502504007019e-05,mrng
6750,23537,3.570408454727221e-05,0.00011599810221724367,1.159461560283872e-05,evng
5184,20497,7.650875260129757e-05,5.4130985898149346e-05,1.1594302499565716e-05,mrng
1034,3179,9.436079487493368e-05,4.3865373282459394e-05,1.1587799945029162e-05,evng
4561,19026,5.610641857428489e-05,7.355036281601365e-05,1.1552738299782933e-05,mrng
